Sample ID,Island,Latitude (degrees N),Longitude (degrees E),Rock name,Al2O3 (percent),Cr (ppm),Rb (ppm)
s_207-6 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.30,-16.60,PHONOLITE [15625],18.51,0.15,86.14
s_02AKA-3 [14053],HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE,20.10,-155.78,BASALT [14053],16.51,0.17,31.90
s_02AHU-8 [14053],HAWAIIAN ISLANDS / HAWAII / HUALALAI / POST-SHIELD STAGE,19.78,-155.83,TRACHYTE [14053],17.28,0.23,115.50
s_02AKA-2 [14053],HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE,20.12,-155.79,BASALT [14053],16.67,0.24,33.30
s_02AKA-1 [14053],HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE,20.04,-155.74,BASALT [14053],15.64,0.30,24.10
s_NER-37A [16914],CANARY ISLANDS / TENERIFE,28.40,-16.50,BASANITE [16914],17.74,0.31,62.03
s_LO-25 [16914],CANARY ISLANDS / TENERIFE,28.30,-16.60,TRACHYANDESITE [16914],19.15,0.38,29.97
s_02AKA-4 [14053],HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE,20.07,-155.76,ANDESITE [14053],17.84,0.44,75.90
s_205-2 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.30,-16.60,BASANITE [15625],17.13,0.46,36.31
s_M14ACIDWASHED [1199],AUSTRAL-COOK ISLANDS / MANGAIA,-21.93,-157.93,"BASALT, ALKALINE [1199]",17.74,0.50,38.70
s_E 206A [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.30,-16.60,NOT GIVEN [15625],17.65,0.50,58.16
s_207-4 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.30,-16.60,PHONOLITE [15625],18.58,0.50,90.05
s_UH53 [16348] / s_UH53-TE35 [24718],MARQUESAS / UA HUKA / HANE / POST-SHIELD STAGE,-8.90,-139.56,PHONOLITE [16348],18.25,0.52,255.60
s_206-2 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.30,-16.60,PHONOLITE [15625],18.53,0.53,101.62
s_AZT-03-18 [12941] / s_AZT 03-18 [21396],AZORES / TERCEIRA,38.73,-27.28,"TRACHYANDESITE, BASALTIC [12941] / NOT GIVEN [21396]",15.00,0.59,39.20
s_206 CONT [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.30,-16.60,PHONOLITE [15625],18.49,0.61,64.70
s_G2-D11 [16914],CANARY ISLANDS / TENERIFE,28.32,-16.38,BASANITE [16914],16.86,0.63,50.78
s_NER-61 [16914],CANARY ISLANDS / TENERIFE,28.40,-16.50,BASANITE [16914],16.85,0.64,52.59
s_E 206D [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.30,-16.60,NOT GIVEN [15625],17.74,0.66,53.57
s_E 206B [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.30,-16.60,NOT GIVEN [15625],17.68,0.70,47.98
s_207-5 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.30,-16.60,PHONOLITE [15625],18.50,0.73,97.71
s_02AMK-11 [14053],HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE,19.94,-155.84,BASALT [14053],16.86,0.75,32.60
s_206-3 [15625],CANARY ISLANDS / TENERIFE / PICO TEIDE,28.30,-16.60,PHONOLITE [15625],18.61,0.75,116.55
